,Comments_lem
49,franchement vol acheté bijou irl arrivé pierre manquante appelle sav demande faire retour précisant objet endommagé défectueux livraison achat remboursé entièrement reçois remboursement aujourd hui déduction frais retours inadmissible sachant bijou a envoyé déjà défectueux sav réponds motif retour valide ça retire frais quelle arnaque envoyé bijou mal fait encore garder argent gen et dire a service contrôlé qualité attend mail service car demande photo bijou avant retour heureusement penser après plusieurs mésaventures showroom privé pense plus acheter site déçu cette expérience si retour ça reste sous sortis poche
50,expérience horrible pires vie souhaite acheter aspirateur appli tout effectue tout parcours valide somme site banque retourne showroom et gros bug appelle service client commande non confirmée prise compte débité aucun problème ré essaie h après problème explication sav hier soir rappelle sav assez colère voir commandes finalement validées jours après envoyées bien sûr bien prélevé tout ça cause énorme bug appli merci ailleurs conseillère téléphonique avoir raccroché nez alors a aucun manque respect part précise merci showroom privé dis adieu
51,facture frais d expédition chaque livraison partielle gentils laisser choix client merci d avance
52,passe commande article sais pourquoi commande part colis cadre sticker colis arrive bon relay l autre relay km chez réponse showrooprive peut renvoyer colis bon relay quand demande prise charge frais port ça accepté si récupère colis ça gêne laisser faire travail livreur faire payer frais livraison déjà origine proposition accepté e environ remboursement service client déplorable cadeau fête pères merci rien showrooprive
53,très bonne cliente showroomprive j ai souci marque sixième sen sandales achetees mise fois semelles décollaient bride s est détachee semelle enfin horreur aucun geste commercial aucun retour possible car soi disant dépassement delai surtout a reproché d avoir utilisé sandales daube produit showroom super mauvais service après vente
54,a fuir j ai acheté matelas a balles disant moins chez fabricant livraison payante eur aparament savaient plus montant énorme plus livraison doit être gratuite minime je dit après tout c est bonne affaire leurs fait confiance après avoir acheté j ai consulté site fabricant grande surprise prix showroom proposent livraison gratuite retour jours alors n a jiurs retour le comble disaient livraison rendez partir juin livreur livrera si rendez vous confirmé un jour juin km loin maison livreur hyper pressé m appelle veut a tout prix livrer commande veut ni revenir autre jour ni déposer point relais j ai dû improviser embêter d autres personnes pouvoir récupérer commande qu attendre d un site dupe mettant prix gonflés livrent grosse commande sans tenir courant mettent jour information suivi commandefranchement désinstalle l appli désabonne leurs mail liste
55,j ai vu beaucoup commentaires négatifs showroomprivé part n ai jamais aucun souci depuis an commande chez toutes commandes conformes bon état délais annoncés quant service client l ai contacté aujourd hui avoir information premier retour j ai déjà reçu réponse cet après midi dirais donc qu il assez efficaces expérience très positive jusqu présent
56,service client déplorable comparé celui entreprises genre j ai effectué commande octobre l heure actuelle fais encore balader service client j ai reçu article très mauvaise qualité premier temp a annoncé remboursement puis a dit finalement réparation l article alors problème qualité base j ai alors reçu adresse renvoyer article n était bonne adresse encore erreur part service client contente dire merci d ignorer mail précédent chaque fois qu il trompent m ont finalement donné bonne adresse l article a réparé s est cassé peu temp après puisque problème bien qualité base suite cette nouvelle déconvenue j ai confirmation téléphone email écrit noir blanc j allais être remboursée si renvoyais nouveau l article j ai fait toujours aucun remboursement depuis d article maintenant dit remboursement n est plus possible c était erreur m avoir dit cela retrouve donc sans article sans remboursment vraie honte j ai beau rappeler renvoyer mail demandes ignorées fait croire autre service va s en occuper comprends comment service client peut être aussi déplorable proposent avoir leurs erreurs répétées manque sérieux rien tout tiennent aucun engagement toutes personnes jointes téléphone peuvent rien faire j ai engagé démarches résoudre litige doute bien showroomprive fera aucun effort côté satisfaction clientèle semble importante leurs yeux je commande beaucoup genre site autres service client beaucoup plus réactifs fiables renouvellerai certainement l expérience d achat chez showroomprive
57,colis non conforme commande sav incompétent retour impossible partir smartphone passez chemin
58,j ai commandé haut fille prevu rentrer pendant vacances dû contact covid a pu rentrer comme prévu quand rentré essayer haut malheureusement c est trop grand j ai appelé service client car date retour a dépassé jr j ai expliqué circonstance m avait promis qu un responsable va m appeler sous hr d appel j ai rappelé nouveau toujours promesse d appel j ai envoyé mail responsable voulait rien entendre après plusieurs argument j ai proposé demander médecin fille attestation j ai appelé médecin malheureusement absent j ai envoyé mail expliquant médecin absent j aurais certificat fois médecin retour a surprise voila réponse mail responsable a envoyé c est honte n commande vente guessbonjour swaleha permets revenir vers sujet commande citée objet effectivement j ai bien lu mail répondu connaissance cause lors échange téléphonique clairement expliqué délai dépassé m avez ensuite évoqué raison retard demandais preuve voir service retour sauf qu en absence preuve fait l indisponibilité momentané médecin peux effectuer demande retour mail donc explicit tenant compte tout convenu téléphone sincèrement navré cette situation cordialement jonasservice client showroomprive com
59,mauvaise manipulation portable validé commande table basse erreur impossible annuler commande crois rêver vraiment je vais devoir attendre livraison puis renvoyer table a frais car article encombrant donc a a charge faut vraiment explique pourquoi annuler commande sec suivent possible peut être déjà emballé chargé expédié seconde grand importe quoi
60,nul chez nul plusieurs commandes passées après plusieurs mois d attente l article arrive n est bon ça commande entre août juin a fuir absolument perte temp même s il rembourse frais d envoi qu il rembourse mal incompétent
