,Comments_lem
16918,toujours prix affichés falsifiés exemple vins xavier vignon moins cher chers chez vinatis veepee malgré soi disant remise belle arnaque
16919,commandé lot fauteuil jardin marque creador début mar devait être livré plus tard fin mar avril fais première demande avoir date livraison dit faut attende jours obtenir retour transporteur semaine après fais autre relance dit faut attendre jours ma surprise quand vu vente privée produit fin avril furieuse renvoyer mail disant avant lancer ventes creador bien livrer client attendent produits commandés mar répond enquête cours doi attendre jours payé dont port crois débité mar depuis plus rien mois attente cliente vente privée com depuis commandé chez car confiance très déçue manque sérieux site a bien changé vraiment impression être victime arnaque sais comment vais récupérer argent récupérer fauteuil si conseil donner éviter site promet belle remise livre fait ainsi trésorerie do client
16920,ventes privées a bien changé comparé débuts faut bien réfléchir avant acheter chez frais livraison chers frais retour charge gros si article convient sûr perdre juste frais livraison viens effectuer commande limited édition bijou censés être composés cristaux swarovski site photo montrent bijou qualité étiquette make with swarovski crystal sac cadeau parfait cadeau grosse blague reçois toute petite enveloppe boîte lettres sac cadeau minuscule plus petit main bracelet mauvaise qualité aucune étiquette indiquant composés cristaux swarovski bref pu acheter chose boutique chinoise sentier article reçu emballages cadeaux correspondent tout photo site problème si renvoie article frais retour charge donne donc veepee cet aller retour vais donc malheureusement garder article dernière fois commande chez vu commentaires forum seule être extrêmement déçue service veepee frais livraison retours exorbitants article non conformes photo marque inexistantes service client nul prochaine fois commanderai amazon
16921,commande article cette site faire retourne article cette extrêmement difficile aucun numéro téléphone site marche fin demandé payé frais retour cette article mal coupé tâche donc fini
16922,service return service fuir après mois attente abjet vendu n est toujours réglé totalité virement a effectué malgré erreur plus aucune nouvelles malgré email appels service client s en foute complètement veepee devenu truc ba gamme sans réel service client
16923,a fuir première fois passe commande chez dernière fois achète article vente éphémère je passe commande dimanche soir vepee dit transaction a bien prise lendemain voyant mail confirmation appelle répond effectivement a problème technique commande bien prise compte attends jusqu jeudi rappelle répond vente terminée bonne soirée raccroche nez plus jamais chez
16924,surtout vendez achats re turn vrai arnaque récupérez jamais argent
16925,décevant possible j ai acheté plusieurs produits site notamment montre j ai dû renvoyer car abîmée jean l un décousu ba jambe l autre j ai fait demande retour car trop petit a jamais envoyer bordereaux retour malgré plusieurs relance sac mac douglas s est très vite abîmé là c est ponpon a an j ai acheter sèche cheveux dyson semaine dernière s est arrêté fonctionner tout simplement aussi j ai fait demande faire marcher garanti aucune nouvelle c est l arnaque site très mauvais sav
16926,deux commandes passées semaines retard disant dû contexte sanitaire d explication personnalisée juste texte préétabli franchement si n accelèrent choses c est terminé peu sérieux mm wish plus consciencieux
16927,j ai acheté deux articlesj en mi re turn c est grand n importe quoila personne a commandé a toujours chercher colisil reste qu un jour j ai envoyé mail vente privée aucune réponsej étais cliente site a concurrence bien plus réactive donc fini moije déconseille site a mieux
16928,dommage puisse mettre article commandé arrivé plateforme colis privé depuis plus nouvelles colis privé abonnés absents veepee mène enquête refuse rembourser bref fuyez pass chemin
16929,j aime tellement aller site trouve toujours pépites cher livraison peu longue parfois prix comme ça l accepte
16930,très mauvais service client fuir ventes robusta car aucun service après vente veepee cache derrière vendeur
16931,honte teste service souhaitant retourner article commandé veepee l article a vendu cagnotte créditée montant impossible récupérer cette somme malgré relances auprès service client daigne répondre vol
16932,seul mot vient juste site mer franchement a éviter fuir
16933,a trop vouloir faire aujourd hui connecte vente thursday mood commence panier là plantage site ramène l accueil retournant ventes celle ci tout simplement disparueet panier merci veepee
16934,déconseille commander return veepee aucun suivi robe mal taillée impossible savoir marche suivre retour appels non suivis faits aucun intérêt leurs client
16935,incapable livrer commande commande perdue proposition remboursement étoile beaucoup trop
16936,injuste faire payé client frais transport mieux zalando privé paye rien frais retour bonnes qualités aussi arrête acheter vente privée
16937,réfléchissez bien avant d acheter frais retour charge e remboursement sous semaines minimum honteux
16938,vente privée lamentable service client incompetent veulent faire market pace savent gérer j arrête commander chez autres enseignes comme amazon règlent problèmes h refusent retours après semaines appels juste grosse plaisanterie impossible retourner article article an tailler adultes
16939,mets étoile parce qu on peut mettre zéro j ai commandé table tomasucci venteprivée arrivée très abîmée plusieurs endroits le service après vente propose renvoyer frais près table vaut dédommagement propose royale somme réduction prochain achat chez c est sûr qu après cette expérience perdus vais avoir envie recommander réduction produits coûtent moyenne moque t on vente privée plus jamais
16940,voleurs écris deux article défectueux savoir surtaillés donc livrés carrément trop petit il répondent j ai dépassé délais jours d un jour précisément geste rien eh bien salut
16941,excellent vu rapport qualité prix malgré livraison longue courant
16942,attention escroquerie utiliser return éviter acheter site j acheté deux paires chaussures testoni fait testoni diffusion sous marquee janvier depuis impossible faire rembourser première paire soi disant remboursé jamais touché argent deuxième retourné re turn a réceptionné perdu ensuite jamais remboursé service après vente a incorrect irrespectueux a feint traiter problème renvoyant vers service concerné dont peut dire donner contact direct au delà constate rabais plus plus fictifs prix équivalents accessible internet passez chemin
16943,vi expérience beaucoup ici j ai retournée produits return gagnée frais port retour article vendu h certe cela fait mois j essai remboursement vain cagnotte vide repéte sans cesse non non a cagnotter xx mar non non non c est faux j en a èm appels dizaines dizaines mail fait tourner rond réponse tout temp fuyez commanderai plus jamais
16944,re turn scandale réceptionné colis car aucun email transporteur reçu colis reçu conteste réception chaque article expliquant lendemain veepee clôture vente façon unilatérale depuis aucune réponse a email payé article fantômes update après plus semaines sans réponse plan b lancé auprès banque contester achat frauduleux attendant toujours nouvelles sav fantôme
16945,l expérience re turn catastrophe retour d un article dont j attends crédit porte monnaie depuis jours toujours o dépit d un mail m annonçant montant a crédité a priori prête d être remboursée vu expériences internautes après plusieurs contact service client plutôt compréhensif faisant dossier entre main d un responsable sensé contacter sous heures depuis plus d une semaine aucun appel aucun contact aucun mail résultat cet article a donc vendu payé fois client attend toujours remboursement grand gagnant cette histoire c est ça concept d une économie durable responsable conseil renvoyer article a veepee directement temp faire rembourser plus si c est toujours peu long goût payant hélas n oubliez si payez paypal pouvez faire rembourser frais retour
16946,respectent leurs client fidèle veux retourner article disent date retour dépassé jours dirait l on a faire a robot aucune humanité
16947,lamentable service client incompetent veulent faire market pace savent gérer terminé ferme compte arrête commander chez honte époque quand voit amazon règle problèmes h avoir retour après semaines appels juste grosse plaisanterie justes bons prendre argent
16948,vendent produits défauts chaque fois laisse chance rattraper bon là trop flagrant sweater mal imprimés terminé
16949,très déçue plus frais d envoi exhorbitants frais retour charge écoeurant grosse arnaque
16950,service return a éviterj retourné colis via plateforme return a plus mois plus aucune nouvelles colis vente annulée aucune réponse part service client évidemment remboursementje vais donc être obligée faire litige paypalje recommande tout service très déçue manque professionnalisme veepee
16951,commande sneackers reçois chaussures puis commande autres article reçois téléphone plateforme étrangère comprend déçu
16952,désolé d écrire cela presque tout vend vente privée eme voir eme choix voir rebut toutes fringues tout ca
16953,après être abstenu plusieurs mois commander chez veepee repassé quelques commandes quelle erreur su rappeler pourquoi plus commander chez depuis certain temp commandes passées mar envoyé moitié quand voulu annuler ème depuis application impossible passe donc ordinateur annulation annoncée comme possible minute avant plus possible aussi faire service client prend engagement tenus raconte salade but rembourser aussi efficaces livrer commande assurer réponses réalistes qualitatives encaisser argent alors efficacité rare tout inverse
16954,passé plusieurs commandes site toujours reçu produits commandés rapidement presque toujours plus rapidement délais annoncés sans encombre bien emballés bon état j enlève tout étoile car frais port semblent globalement peu élevés réductions prix annoncées irréalistes moins cher tout vu ailleurs prix référence affiché calculer remise semble plus élevé trouve net peut être est ce prix mise vente origine produit fabricant
16955,copie colle avis partage totalement tres decue veepee malins frais port hors prix frais retour encore plus chers donc site éviter commande livraison retour bravo perds temp perds j imprime bordeau par poste article non conforme plus a tellement prix vendeurs multipliés annoncer fausses réductions supprime compte
16956,commandé miroir salle bain plus deux semaines après société transport contacte convenons livraison mercredi reste enfermée toute journée chez sans possibilité sortir enfants parc attendant livreur dis toute journée dès livreur arrive ira parc sauf livreur jamais arrivé aujourd hui près semaine après malgré nombreux mail veepee toujours aucune nouvelle statut commande nullissime a fuir
16957,cliente chez veepee depuis plusieurs années problèmes livraison plus plus fréquents commande récente n ai reçu partiellement article commandés après réclamations faites site n ai aucune réponse cela fait plusieurs semaines j attends peut contacter autrement site aussi lasse sérieusement crois bien vais cesser commander chez
16958,tres decue veepee malins frais port hors prix frais retour encore plus chers donc site éviter aucune communication après retour d un colis dire si colis arrivé entrepôt ni si vont procéder remboursement ni quand vont faire commande faite fdp e article retour article lendemain fdp e a gros problème colis arrivé entrepôt nouvelle mail avril n ai toujours mail part faut encore attendre entre jours remboursement coup cela fera presque mois j ai retourné article site a fuir innevitablement perso commanderais plus jamais veepee
16959,ancienne fidele cliente vente privée plus plus déçue site impossible communiquer dehors commandes frais port charge ca retour coûtent cher quel qu en motif délais remboursement trop longs plus certaine continuer commander site
16960,bizarre re turn envoie erreur couleur objet déjà acheté veepee normal quel intérêt client revendre objet moins cher lieu renvoi coûtera peu près chose frais port diminution prix si veepee a jusque là peu près pris compte correctement erreurs semble re turn réagit plainte
16961,cliente fidèle site trouve délais remboursement plus plus longs conseille tous bien vérifier prix vente initial gonfle rapport réalité déçue aussi client très fidèles remboursés moins fous an frais port retour bref beaucoup déception
16962,j ai commandé pull bompart chez veepee trop grand j ai voulu essayer service re turn personne a racheté l article jusque là tout va bien personne a récupéré pull c est moment faire rembourser veepee choses compliquées nom rib correspond celui pièce d identité nom jeune fille nom d épouse débats depuis mois récupérer l argent bien noms correspondent maintenant service client déplorable impossible trouver qqn compétent plus jamais n utiliserai veepee
16963,bonjour j ai commandé article sac bandoulière mar délais jours annoncé semaines plus tard toujours rien reçu j ai envoyé mail sav hier aujourd hui aucune réponse coordonnées site effacées n ai aucun re cours parce tout semble indiquer c est chine vais voir paypal conseil franchement site fuir
16964,fuyez service
16965,aucune difficulté avoir sav ligne l accueil plutôt aimable conseil retour faut exiger remboursement frais d envoi site car loi tous client savent ça marche d autre part refuser l étiquette prépayée car là c est l arnaque surtout colis moins gramme
16966,j attends l annulation d une commande désigual passée avril h vp j ai tenté modifier h après moyen car article préparés dimanche alors livraison prévue sous minimum jours quand consulte statut commande téléphone ça m indique allons commander article chez fournisseur faites désormais force vp gagnez assez d argent préférez vous retourne article veux toute manipulation ça implique risque qu il perdus abimés clôture compte devriez toute façon rembourser mail hier matin annuliez cette commande restés sans réponse satisfaction client n est visiblement plus priorité quelle déception veepee
16967,gros gros soupçon bug informatique mar site lors paiement plus e utilisant appli comme habitude client veepee depuis années message comme quoi banque carte bancaire problème réessaye fois encore rien change cb autre banque ça passe certains article plus disponibles bon ça arrive malheureusement lors l expédition colis veepee prélève non seulement somme initiale a aboutit aucune commande plus tout a ete preleve cb fonctionnait selon comment expliquer cela cyber attaque énorme bug part épargne détails bien conservé tous mail détails appelé service client dès lendemain car autre soucis technique compléter première commande gros c était vrai dialogue sourd qu on disait téléphone correspondait rien réponses m ont adressées mail rappelle service client dit aucune somme a prélevée car a numéro commande correspondante obligée envoyer relevé prélèvements bancaires longues explication détails écrit j avais déjà fait téléphone pendant bonne semaine a seule reprise personne compétente directrice vente produits commande a juste envoyé demande vérification département comptable j ai bien structuré mail sauf fois excusée fautes grammaire orthographe message restée calme polie demandant réponse chaque point où problème résultat oui remboursée après nombreuses heures passées battre service client inefficace faire boulot prouver erreur veepee a acquiescé erreur technique sans plus détails bug technique après aucune nouvelle demande retour nature bug car vraiment là rien a prélevé e carte bleue fonctionné tout première carte bloquait plus confiance veepee vu autres commentaires client cela m étonne
16968,vrai arnaque pense faire bonne affaire c est fumisterie première expérience j ai acheté couch pampers paquets couch euro première vu c est bonne affaire dès j ai reçu colis dedans qu un seul paquet dédommagement m ont juste proposé retourner colis rembourser alors c était vente mensongère deuxième expérience j ai acheté comme cadeau d anniversaire fille anniversaire maison d extérieur table prix alléchant résultat j ai reçu maison table allait méfiez vous veepee
16969,achat siège auto babygo frais port siège prix amazon livraison gratuite parles affaire site dernière fois passe commande vais faire super publicité auprès entourage
16970,service client chez veepee honte absolue conseil vivement toute personne éviter d acheter chez lorsqu a problème trouverez plus écoute murs conseillers veepee j ai acheté machine a laver mi deux mois livrer date livraison avril rien n est arrivé hier reçois message comme quoi a problème j aurais remboursement sous jours pendant deux mois rendu compte problème dédommagement achat plus honte absolue
16971,table salle manger livrée cassée remboursement mois nul
16972,expérience veepee return chaotique papier ça partait bien revendre autre particulier sans s occuper rien veepee prend charge frais livraison c est super idée tout reste vraiment revoir email parcours n existent quasiment résultat j ai vendu article l ai su avant d avoir l email si n expédiez article jours commande annulée cela a pressée rien j aurais pu avoir temp faire colis si j avais su quand article s était vendu ensuite rattachement rib compte faut vérifier identité pièce d identité impossible trouver parcours où déposer rib n est accepté car c est compte joint c est nom m premier puis mien disent n est nom rib retrouve pleurer récuperer épuisant c est franchement dommage car concept là crm autour quasi inexistant parcours digital revoir
16973,service client vraiment lamentable de mail restent sans réponses nombreuses tentatives d appels numero non attribué j ai malheur renvoyé manteau d une valeur via plateforme re turn veepee passe via mondial relais vente finalisée disent argent transférer cagnotte surprise montant affiché de impossible récupérer argent maigre nombreuses tentatives joindre service client depuis bientôt moiq
16974,commande reçut commande réclamer geste commercial appels mail semaines attente geste commercial réponse veepee clôturassions compte sans prévenir commandes cour encaissé dont hotline non suivi recourt justice impose fuyez pauvre fou
16975,site sérieux sert rien final bien c est avis n apporte aucune valeur ajoutée ventes privées vraiment le prix vente frais port trouve goût très élevé alentours frais retour reviennent prix autres site sans aucune vente privée voire plus cher sans parler système parrainage pouvoir gagner faut dépenser minimum vive amazon cdiscount aliexpress
16976,bonjourj acheteuse très régulière vente privée puis deux reprises très déçue commandes lessives a chaque livraison bidon eventre donc reçu vide première fois dis rien seconde fois envoie mail demandant geste commercial jamais réponse bonne réception rien tout très déçue pense plus rien commander laure vidaller
16977,bonjournous acheté voyage vente privée réservez plus biais perfectstay car si devez annuler réservation mal faire rembourser fuyez depuis mois janvier demandons remboursement réservation annulé loi française très claire point voir article l nombreux mensonges part perfectstay mail informant l incapacité rembourser prendre contact compagnie aérienne afin d obtenir remboursement alors commandé uniquement perfectstay nous alertons différents forum demandant boycotter cette entreprise prenons contact vente privée car l habitude réserver biais famille heron
16978,honteux commande meuble tv homitis j ai reçu fevrier sans notice montage ni vi fixation signale l anomalie service après vente malgré plusieurs relances aucune reponse avril part hormis merci attendre site veepee site incompétents vraiment indigne réputation conseil commander jamais veepee
16979,bonjour faudrait créer blog mettrais a jour régulièrement car vraiment importe quoi moi fait commande retourné résultat manque partie remboursement sans compter accueil laisse vraiment désirer il faut appeler boycott cette société faire tourner cliente insatisfaite
16980,jamais mauvaise surprise site livraison rapide fiable contrairement d autres site concurrents
16981,arnaque canapé commandé chez jamais reçu jamais remboursé vaut mieux éviter site devenu importe quoi
16982,l attente d un remboursement return cagnotte alors personne a récupérée colis conseillère dit doi remplir fiche lorsque fais bien ça s enregistre car disant problème d iban responsable doit contacter depuis plus d une semaine rien vais abandonner argent
16983,cliente chez depuis service dégrade plus plus quand écrit service client répondent côté téléphone certains conseillers incapables gérer disent importe quoi effectué commande début février finalement refusé colis reçu ensemble colis février mar cette histoire toujours terminée demande écrites tous répondu remboursement demandé mar dû appeler rendent compte problème depuis commande remboursement aujourd hui reçois message annoncer nouveau remboursement effectif manque encore environ remboursement attends voir combien remboursement vais recevoir juste honte régler type dossier sorte etait bon site départ aujourd hui ca a plus rien voir faut peut être revoir recrutements éviter type erreur tout revoir emballage article solidité colis retours service client comptabilité apparemment productivité prime qualité
16984,depuis site devenu veepee vraie catastrophe commande non honorée produits arrivés abîmés dernières commande date dernière pourtant ça fait années commande site p arrive valider soirée envoient mail dire pourront honorer commande validée quelques heures avant dgccrf contactée
16985,vente p a h connecter a h valider panier erreur survenue c est l arnaque
16986,site return veepee pure arnaque veepee charge revendre article lieu gérer reprise acheteur paie article somme jamais créditée cagnotte plus veepee efface coordonnées bancaires dire renseignéesje compte faire signalement dgccrf
16987,lieu renvoyer article vente privée a proposé vendre site re turn d autres client puissent l acheter l argent vente ensuite crédité cagnotte l on peut virer compte pourquoi fois article vendu expédié réceptionné l acheteur dit vente finalisée cagnotte disponible ma vente cagnotte a fallu plusieurs email numéro téléphone joindre of course avant recevoir réponse explication excuse devriez voir cagnotte crédité quelques jours info mi vente mar déposé colis mar a réceptionné acheteur mar aujourd hui mar toujours remboursé honnêtement ça vaut coup re turn autant renvoyer directement vente privée
16988,veepee propose revente article convenant site re turn disant zero carbone blabla c est énorme arnaque j ai vendu deux article j avais solde cagnotte cagnotte affiche solde faut être génie math rendre compte montant n est correct j ai déjà envoyé plusieurs mail retours toujours mêmes veuillez contacter service re turn c est honte remarque seule veepee arnaque dès j aurais obtenu gain cause désabonne
16989,apres plusieurs commandes entièrement satisfait j ai commande reçue reebok trop petit renvois remboursé jours ouvrés après fais bonnes affaire ça fait commencer
16990,lieu renvoyer article vente privée a proposé vendre site re turn d autre cliente veepee puisse l acheter l argent vente ensuite crédité cagnotte l on peut virer compte théorie fois article vendu expédié validé l acheteuse return m envoi maik m informer vente finalisée cagnotte disponible grosse arnaque vnete indique cagnotte article a vendu je n ai aucunes réponses mail contact veepee a numéro joindre site a volé honte
16991,service client bannir très mauvaise expérience récente veepee j ai commandé plantes a quelques semaines colis reçu a jours totalement endommagé colis déchiré plantes cassées manque moitié éléments commandés j ai écrit téléphoné sav propose dédommagement rien d autre commande excède plus j ai relancé service client dizaine mail car aucune réponse claire précise a jour silence radio depuis semaine dernier mail date mercredi dernier m incite replanter plantes terre miraculeusement tout ira bien
16992,site veeppe re turn arnaque n ai jamais pu récupérer argent maintenant a disparu cagnotteune honte
16993,return veepee fuir j ai revendu article acheteur biais plateforme return jusque là tout va bien l acheteur reçoit j ai mail confirmant vente sous vont être virés cagnotte bout h mois demi plus tard n ai toujours vu couleur argent malgré plusieurs réclamations honte
16994,bonjour obligée mettre étoile car impossible mettre site arnaque j ai acheté paire ballerines alors fais j avais prévu mettre paire semelles dedans fait trop petit tb j ai envoyé réclamation comme quoi a défaut niveau tailles a répondu tout allait bien l affaire close
16995,j ai commandé paires chaussures marque san marina devais être livré mar j appelle jour renseigner livraison donc mar j apprends livré car a assez stock blague dédommagé d un bon réduction mdr trop déçu vend rêve rien
16996,bonjour vien commander plus vetemen menvoi mauvais article nombre renvoyer alor meme envoyer bon nombre somme indiquer
16997,a l heure où tous site vente ligne permettent d annuler commande dés lors qu elle a préparée étrangement mienne prête minute après paiement n était plus annulable et alors majorité site vente ligne permettent d user droit rétractation moindre frais dépôt point relais gratuit impression étiquette retour gratuite constate veepee permet retour gratuit point relais réserve droit facturer étiquette retour cela s appelle malhonnêteté encore comment décourager l exercice droit rétractation conclusion petit conseil préférer d autres site vente ligne showroomprivé exemple où tout bcp plus simple quasi totalité autres enseignes vente ligne part passerai plus jamais commande chez veepee être tentée consulterai plus site
16998,cliente depuis début veepee commandé milliers d euro commande lampes a renvoyé relais colis février colis a pu être retiré depuis émails automatiques colis cours d acheminement vers site logistique toujours remboursement vue c est vol car entre temp cet argent placé tranquillement veepee j ai fait recours assistance juridique fuire absolument n est plus c était
16999,impose minimum faire rembourser argent tout simplement scandaleux vole force achat recommande très déçu
17000,vraiment honte site a jamais envoyé commande a pourtant débité impossible joindre assistance robotisée dit contacter vendeur article nommer rebook dit contacter veepee en bref renvoient sans cesse balle peux assoir commande jamais reçu surtout fuyez veepee car problèmes assurés
17001,réitére commentaire vente priveetrustpilot sert algorithe publier réfuser dégommer commentaireil a an celà commadé levi taille sur l étiquette ça mentionné taille sample make in prc m allait l autre petite taille quand compare l un l autre pouvait tailleje rends petite taille vente privee fait retenue sauf erreur part illégal vendre échantillions je confirme racontes conneries
17002,depuis quelques temp peux finaliser aucune commande site vente privée service client très nul j abandonne site
17003,moins h après avoir passé commande j ai appelé service demander l annulation commande m avez précisé téléphone cela n était possible car commande cours préparation car déjà stock meubles aujourd hui regarde suivi commande marqué attendez d etres livré fournisseur livraison prévue avril minimum comprends c est passez commande préparation éviter toute annulation franchement prennez client abrutis finis j ai connu site a bien longtemps passé commandes début j ai pu annuler commandes sans aucun problème quand vois comment ça passe maintenant j ai vraiment honte vais batailler attendre fais trop d illusion message restera sans retour
17004,voleurs envoyé article correspondaient a commande bouteilles explosees colis a ete reconditionne poste jai envoyé photo refusent rembourser sous pretexte quils voient produits normal colis a ete reconditionne donc manque bouteilles nachetez chez sav repond volontairement c est mensonge mensonge aucun respect code consommateur
17005,ça a bien changé commande converse orange reçois gold bien jaunes tachées vu difficultés gen recontrent faire rembourser revendrai vinted retire l appli commanderai plus rien chez eux commandes problèmes terminé moi je prefèrecommander chez concurrent direct plus reactif trompent tailles couleurs
17006,tout coûte très chère parfois plus cher qu en boutique prix complémentaire mensonger livraison extrêmement longue payante bien sur produit mauvaise qualité souvent défauts renvoi payant
17007,bonjour commandé sandales novembre je demande début janvier retour dit suite problème chez vp livrée remboursée depuis renvoyé plusieurs demandes celle aujourd hui reçois réponse gratinée service client donne références paiement j saisi médiateur jour quelle déception alors cliente depuis années c terminé témoigne autres genre mésaventure
17008,j ai utilisé veepee return quelle idée j ai deux article acheté client cela fait deux mois j essaie vain récupérer cagnotte malgré appels message mail n ai toujours gain cause c est inadmissible veepee return conserve argent c est manque respect vi vi client c est purement vol j envisage aussi comme d autres j aurais regarder avant internet avis veepee return porter plainte si d autres réussi alors preneuse méthode sinon propose contactions million consommateurs porter l affaire vue tous cela fera publicité
17009,navrant article retourné depuis près deux semaines toujours aucune nouvelle site éviter absolument
17010,catastrophique deux mois aprés avoir utilisé service re turn rendre servife a autres membres loupé article voila a batailler recuperer argent centaines mail heures passé telephone service client seul mot ordre patienter deux mois argent bloqué cagnotte re turn personne semble vouloir débloquer excuse excuse fait trainer ballade perds temp fou rappelons a fallu imprimer broderau a frais emballer colis a frais deposer point relais a frais remerciement plus deux mois attente etre payée moment parle terminé attends encore deja fois cette semaine ligne oui madame demande prioritaire cela va etre rapide deja deux mois alors si rapide maintenant peut etre encore deux mois plus pourtant etais tres tres bonne cliente veepee terminé envisage porter plainte surtout plus jamais commander cette plateforme voleurs
17011,mauvaise commande reçu après plus mois attente première fois cela produit équipes préparateur doivent être daltoniens entièrement dénuées sen observation éviter commander si souhaitez embarquer échanges sans fin récupérer déplacer sans arrêt réexpédier mauvaise commandes reçues
17012,loin pire site sav marché commande table tomasucci dont frais port livraison hors délai après mois demi pieds arrivés fissurés solution dédommagement aucun intérêt car table sans pieds renvoyer article choisissons remboursement le transporteur doit venir délai jours ouvrés viendront après plusieurs relance sav appel responsable faire avancer choses jours ouvrés veepee demande preuve renvoi accélérer processus remboursement jour après mail semaine demie aucun retour quand appeler sav disent ah désolé accès mail peut répondre service compris intérêt faire travailler argent compte passage dissuader client faire rembourser roule or peux permettre attendre mois entre commande remboursement autant dû acheter nouvelle table car ancienne vendue avant réception conclusion fuyez
17013,site j ai payé téléphone forfait n ai jamais reçu aucun moyen joindre erreur avoir lu avis avant commander sinon n aurais jamais commander surtout quand a plus d avis négatifs grand conseil fuyer faite passer message jamais commander site
17014,attention arnaque slip commandés vp retour d un n utilise étiquette prépayée e je paie e frais port vp a quand déduit fdp remboursement donc bien vérifier remboursements utiliser étiquette arnaque quant ème slip vente return impossibilité récupérer somme ieme arnaque
17015,c est pire site vente ligne monde j ai commandé fois chez a chaque fois trouvent moyen voler frais retours pratiquement équivalent prix l article acheté bien envoi prennent mois produit commandé n est toujours bon dernière commande j ai commandé paires chaussure montante a euro m ont envoyé paires sandales bref service client a faire pures voleurs amazon asos n ont vraiment souci a faire face a voleurs première s en contre fiche leurs client p j ai mi étoile car j avais choix laisser avis si possibilité j aurais mi voir moins bande voleur
17016,bonjour juste avant d acheter vp bien vérifier prix pratiqués ailleurs surtout opé market place ex vente kerastase trouve produits prix voire moins site classiques para autres shampoo bain satin n origines parfums er vp quelle honte donc tromperie avérée cordialement frédérique
17017,commandé canapé angle fauteuil attendu plus mois canapé arrivé sans outillerie montage aores jours jours réclamations veepee répond rendez canapé debrouillez trouvez visserie le fauteuil a jamais livré veepee affirme contraire dû demander enquête appelé société livraison a confirmé non livraison lais ceka a suffit veepee passé jours jours appeler fait déclaration honneur de mois attente semaines demarche réclamations aucun respect aucun geste commercial part achat important aimé avoir plus respect professionnalisme
17018,vérifiez systématiquement réductions annoncées elles souvent très largement surévaluées vue délais livraisons très longs faut parfois mieux commander autres site vue réductions mineures final beaucoup produits dernièrement radiateur vendu lieu annoncé prix public alors min trouvez produit net autres site sans compter marque reviennent sans arrêt toujours mêmes produits a sen site a perdu intérêt
17019,j ai passé commande veepee décembre j ai bien reçu commande satellite d un montant euro collier bracelet défectueux niveau pierre j ai retourné commande tous produits demandant remboursement l achat s est effectué plusieurs fois oney j ai payé montants euro a jour oney a remboursé seulement euro malgré relances excédée j ai contacté veepee a indiqué avoir fait demande d annulation demande contacter service facilpay n est normal veepee dédouane responsabilités invite plus commander notation avis page jaunes cela dit long j aurai dû arrêter commander lorsque j ai commencé recevoir produits défectueux pantalon déchiré qu une personne mi coup cutter produit a conditionné cette manière impossible voir collier pierre tombé m ont fait geste commercial euro prochaine commande cliente longue date depuis plus an laisse tomber j attends problème règle puis clôturerai compte bye veepee
17020,dommage zero possible fuyez ramassis d escrocs au moment où terminez phrase commande vient passer statut cours préparation empêcher l annuler alors colis vient d être expédié trop débile trouver mail l annonce tout ceci faire trésorerie do s assoir droit consommation voyons répression fraudes pensera
17021,bonjour tous déconseille acheter ligne veepee voici histoire acheté radiateurs électriques marque carrera radiateurs reçu cassé e mail tout abord fournisseur réponse jours après demander photo ça traîne depuis chaque fois faut attendre jours ouvrés réponse très déçu achèterai plus site suivi dossier carrera minable livraison arrivée retard tnt voici expérience
17022,e return anarque l argent mi cagnotte impossible faire rembourser
17023,moins h après avoir passé commande j ai appelé service demander l annulation commande m avez précisé téléphone cela n était possible car commande cours préparation car déjà stock meubles aujourd hui regarde suivi commande marqué attendez d etres livré fournisseur livraison prévue avril minimum comprends c est passez commande préparation éviter toute annulation franchement prennez client abrutis finis j ai connu site a bien longtemps passé commandes début j ai pu annuler commandes sans aucun problème quand vois comment ça passe maintenant j ai vraiment honte vais batailler attendre fais trop d illusion message restera sans retour
17024,voleurs envoyé article correspondaient a commande bouteilles explosees colis a ete reconditionne poste jai envoyé photo refusent rembourser sous pretexte quils voient produits normal colis a ete reconditionne donc manque bouteilles nachetez chez sav repond volontairement c est mensonge mensonge aucun respect code consommateur
17025,ça a bien changé commande converse orange reçois gold bien jaunes tachées vu difficultés gen recontrent faire rembourser revendrai vinted retire l appli commanderai plus rien chez eux commandes problèmes terminé moi je prefèrecommander chez concurrent direct plus reactif trompent tailles couleurs
17026,tout coûte très chère parfois plus cher qu en boutique prix complémentaire mensonger livraison extrêmement longue payante bien sur produit mauvaise qualité souvent défauts renvoi payant
17027,bonjour commandé sandales novembre je demande début janvier retour dit suite problème chez vp livrée remboursée depuis renvoyé plusieurs demandes celle aujourd hui reçois réponse gratinée service client donne références paiement j saisi médiateur jour quelle déception alors cliente depuis années c terminé témoigne autres genre mésaventure
17028,j ai utilisé veepee return quelle idée j ai deux article acheté client cela fait deux mois j essaie vain récupérer cagnotte malgré appels message mail n ai toujours gain cause c est inadmissible veepee return conserve argent c est manque respect vi vi client c est purement vol j envisage aussi comme d autres j aurais regarder avant internet avis veepee return porter plainte si d autres réussi alors preneuse méthode sinon propose contactions million consommateurs porter l affaire vue tous cela fera publicité
17029,navrant article retourné depuis près deux semaines toujours aucune nouvelle site éviter absolument
